Player,starting_11,team,game,Season
David de Gea,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Victor Lindelöf,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Eric Bailly,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Paul Pogba,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Alexis Sánchez,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Juan Mata,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Marcus Rashford,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Andreas Pereira,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Fred,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Luke Shaw,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Matteo Darmian,Y,Manchester Utd,Manchester Utd vs Leicester City,2018
Kasper Schmeichel,Y,Leicester City,Manchester Utd vs Leicester City,2018
Ben Chilwell,Y,Leicester City,Manchester Utd vs Leicester City,2018
Wes Morgan,Y,Leicester City,Manchester Utd vs Leicester City,2018
Demarai Gray,Y,Leicester City,Manchester Utd vs Leicester City,2018
Kelechi Iheanacho,Y,Leicester City,Manchester Utd vs Leicester City,2018
James Maddison,Y,Leicester City,Manchester Utd vs Leicester City,2018
Ricardo Pereira,Y,Leicester City,Manchester Utd vs Leicester City,2018
Harry Maguire,Y,Leicester City,Manchester Utd vs Leicester City,2018
Daniel Amartey,Y,Leicester City,Manchester Utd vs Leicester City,2018
Adrien Silva,Y,Leicester City,Manchester Utd vs Leicester City,2018
Wilfred Ndidi,Y,Leicester City,Manchester Utd vs Leicester City,2018
Martin Dúbravka,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Ciaran Clark,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Paul Dummett,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Jamaal Lascelles,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Jonjo Shelvey,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Mohamed Diamé,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Matt Ritchie,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Kenedy,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Ayoze Pérez,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Joselu,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
DeAndre Yedlin,Y,Newcastle Utd,Newcastle Utd vs Tottenham,2018
Hugo Lloris,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Jan Vertonghen,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Davinson Sánchez,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Harry Kane,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Eric Dier,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Moussa Sissoko,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Dele Alli,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Christian Eriksen,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Serge Aurier,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Lucas Moura,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Ben Davies,Y,Tottenham,Newcastle Utd vs Tottenham,2018
Fabricio,Y,Fulham,Fulham vs Crystal Palace,2018
Ryan Sessegnon,Y,Fulham,Fulham vs Crystal Palace,2018
Calum Chambers,Y,Fulham,Fulham vs Crystal Palace,2018
Kevin McDonald,Y,Fulham,Fulham vs Crystal Palace,2018
Aleksandar Mitrović,Y,Fulham,Fulham vs Crystal Palace,2018
Tom Cairney,Y,Fulham,Fulham vs Crystal Palace,2018
André Schürrle,Y,Fulham,Fulham vs Crystal Palace,2018
Maxime Le Marchand,Y,Fulham,Fulham vs Crystal Palace,2018
Cyrus Christie,Y,Fulham,Fulham vs Crystal Palace,2018
Joe Bryan,Y,Fulham,Fulham vs Crystal Palace,2018
Jean Seri,Y,Fulham,Fulham vs Crystal Palace,2018
Wayne Hennessey,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Patrick van Aanholt,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Luka Milivojević,Y,Crystal Palace,Fulham vs Crystal Palace,2018
James Tomkins,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Andros Townsend,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Wilfried Zaha,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Mamadou Sakho,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Jeffrey Schlupp,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Christian Benteke,Y,Crystal Palace,Fulham vs Crystal Palace,2018
James McArthur,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Aaron Wan-Bissaka,Y,Crystal Palace,Fulham vs Crystal Palace,2018
Asmir Begović,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Steve Cook,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Dan Gosling,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Nathan Aké,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Andrew Surman,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Charlie Daniels,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Callum Wilson,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Adam Smith,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Joshua King,Y,Bournemouth,Bournemouth vs Cardiff City,2018
David Brooks,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Ryan Fraser,Y,Bournemouth,Bournemouth vs Cardiff City,2018
Neil Etheridge,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Lee Peltier,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Joe Bennett,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Sean Morrison,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Bruno Ecuele Manga,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Joe Ralls,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Callum Paterson,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Bobby Reid,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Nathaniel Mendez-Laing,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Sol Bamba,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Junior Hoilett,Y,Cardiff City,Bournemouth vs Cardiff City,2018
Ben Foster,Y,Watford,Watford vs Brighton,2018
Daryl Janmaat,Y,Watford,Watford vs Brighton,2018
Troy Deeney,Y,Watford,Watford vs Brighton,2018
Craig Cathcart,Y,Watford,Watford vs Brighton,2018
Abdoulaye Doucouré,Y,Watford,Watford vs Brighton,2018
Andre Gray,Y,Watford,Watford vs Brighton,2018
Will Hughes,Y,Watford,Watford vs Brighton,2018
José Holebas,Y,Watford,Watford vs Brighton,2018
Christian Kabasele,Y,Watford,Watford vs Brighton,2018
Étienne Capoue,Y,Watford,Watford vs Brighton,2018
Roberto Pereyra,Y,Watford,Watford vs Brighton,2018
Mathew Ryan,Y,Brighton,Watford vs Brighton,2018
Bruno,Y,Brighton,Watford vs Brighton,2018
Shane Duffy,Y,Brighton,Watford vs Brighton,2018
Lewis Dunk,Y,Brighton,Watford vs Brighton,2018
Dale Stephens,Y,Brighton,Watford vs Brighton,2018
Anthony Knockaert,Y,Brighton,Watford vs Brighton,2018
Pascal Groß,Y,Brighton,Watford vs Brighton,2018
Glenn Murray,Y,Brighton,Watford vs Brighton,2018
Solly March,Y,Brighton,Watford vs Brighton,2018
Davy Pröpper,Y,Brighton,Watford vs Brighton,2018
Bernardo,Y,Brighton,Watford vs Brighton,2018
Ben Hamer,Y,Huddersfield,Huddersfield vs Chelsea,2018
Terence Kongolo,Y,Huddersfield,Huddersfield vs Chelsea,2018
Jonathan Hogg,Y,Huddersfield,Huddersfield vs Chelsea,2018
Philip Billing,Y,Huddersfield,Huddersfield vs Chelsea,2018
Aaron Mooy,Y,Huddersfield,Huddersfield vs Chelsea,2018
Chris Löwe,Y,Huddersfield,Huddersfield vs Chelsea,2018
Alex Pritchard,Y,Huddersfield,Huddersfield vs Chelsea,2018
Steve Mounié,Y,Huddersfield,Huddersfield vs Chelsea,2018
Mathias Jørgensen,Y,Huddersfield,Huddersfield vs Chelsea,2018
Christopher Schindler,Y,Huddersfield,Huddersfield vs Chelsea,2018
Florent Hadergjonaj,Y,Huddersfield,Huddersfield vs Chelsea,2018
Kepa Arrizabalaga,Y,Chelsea,Huddersfield vs Chelsea,2018
Antonio Rüdiger,Y,Chelsea,Huddersfield vs Chelsea,2018
Marcos Alonso,Y,Chelsea,Huddersfield vs Chelsea,2018
Jorginho,Y,Chelsea,Huddersfield vs Chelsea,2018
N'Golo Kanté,Y,Chelsea,Huddersfield vs Chelsea,2018
Ross Barkley,Y,Chelsea,Huddersfield vs Chelsea,2018
Pedro,Y,Chelsea,Huddersfield vs Chelsea,2018
Willian,Y,Chelsea,Huddersfield vs Chelsea,2018
César Azpilicueta,Y,Chelsea,Huddersfield vs Chelsea,2018
Álvaro Morata,Y,Chelsea,Huddersfield vs Chelsea,2018
David Luiz,Y,Chelsea,Huddersfield vs Chelsea,2018
Rui Patrício,Y,Wolves,Wolves vs Everton,2018
Matt Doherty,Y,Wolves,Wolves vs Everton,2018
Ryan Bennett,Y,Wolves,Wolves vs Everton,2018
Rúben Neves,Y,Wolves,Wolves vs Everton,2018
Raúl Jiménez,Y,Wolves,Wolves vs Everton,2018
Hélder Costa,Y,Wolves,Wolves vs Everton,2018
Willy Boly,Y,Wolves,Wolves vs Everton,2018
Conor Coady,Y,Wolves,Wolves vs Everton,2018
Diogo Jota,Y,Wolves,Wolves vs Everton,2018
Jonny Castro,Y,Wolves,Wolves vs Everton,2018
João Moutinho,Y,Wolves,Wolves vs Everton,2018
Jordan Pickford,Y,Everton,Wolves vs Everton,2018
Leighton Baines,Y,Everton,Wolves vs Everton,2018
Michael Keane,Y,Everton,Wolves vs Everton,2018
Phil Jagielka,Y,Everton,Wolves vs Everton,2018
Gylfi Sigurðsson,Y,Everton,Wolves vs Everton,2018
Theo Walcott,Y,Everton,Wolves vs Everton,2018
Cenk Tosun,Y,Everton,Wolves vs Everton,2018
Idrissa Gana Gueye,Y,Everton,Wolves vs Everton,2018
Morgan Schneiderlin,Y,Everton,Wolves vs Everton,2018
Séamus Coleman,Y,Everton,Wolves vs Everton,2018
Richarlison,Y,Everton,Wolves vs Everton,2018
Alex McCarthy,Y,Southampton,Southampton vs Burnley,2018
Cédric Soares,Y,Southampton,Southampton vs Burnley,2018
Jannik Vestergaard,Y,Southampton,Southampton vs Burnley,2018
Jack Stephens,Y,Southampton,Southampton vs Burnley,2018
Wesley Hoedt,Y,Southampton,Southampton vs Burnley,2018
Charlie Austin,Y,Southampton,Southampton vs Burnley,2018
Oriol Romeu,Y,Southampton,Southampton vs Burnley,2018
Stuart Armstrong,Y,Southampton,Southampton vs Burnley,2018
Mario Lemina,Y,Southampton,Southampton vs Burnley,2018
Ryan Bertrand,Y,Southampton,Southampton vs Burnley,2018
Nathan Redmond,Y,Southampton,Southampton vs Burnley,2018
Joe Hart,Y,Burnley,Southampton vs Burnley,2018
Matthew Lowton,Y,Burnley,Southampton vs Burnley,2018
Jack Cork,Y,Burnley,Southampton vs Burnley,2018
James Tarkowski,Y,Burnley,Southampton vs Burnley,2018
Ben Mee,Y,Burnley,Southampton vs Burnley,2018
Jóhann Berg Guðmundsson,Y,Burnley,Southampton vs Burnley,2018
Chris Wood,Y,Burnley,Southampton vs Burnley,2018
Jeff Hendrick,Y,Burnley,Southampton vs Burnley,2018
Ashley Westwood,Y,Burnley,Southampton vs Burnley,2018
Stephen Ward,Y,Burnley,Southampton vs Burnley,2018
Aaron Lennon,Y,Burnley,Southampton vs Burnley,2018
Alisson,Y,Liverpool,Liverpool vs West Ham,2018
Virgil van Dijk,Y,Liverpool,Liverpool vs West Ham,2018
Georginio Wijnaldum,Y,Liverpool,Liverpool vs West Ham,2018
James Milner,Y,Liverpool,Liverpool vs West Ham,2018
Naby Keïta,Y,Liverpool,Liverpool vs West Ham,2018
Roberto Firmino,Y,Liverpool,Liverpool vs West Ham,2018
Sadio Mané,Y,Liverpool,Liverpool vs West Ham,2018
Mohamed Salah,Y,Liverpool,Liverpool vs West Ham,2018
Joe Gomez,Y,Liverpool,Liverpool vs West Ham,2018
Andrew Robertson,Y,Liverpool,Liverpool vs West Ham,2018
Trent Alexander-Arnold,Y,Liverpool,Liverpool vs West Ham,2018
Łukasz Fabiański,Y,West Ham,Liverpool vs West Ham,2018
Fabián Balbuena,Y,West Ham,Liverpool vs West Ham,2018
Marko Arnautović,Y,West Ham,Liverpool vs West Ham,2018
Felipe Anderson,Y,West Ham,Liverpool vs West Ham,2018
Mark Noble,Y,West Ham,Liverpool vs West Ham,2018
Jack Wilshere,Y,West Ham,Liverpool vs West Ham,2018
Angelo Ogbonna,Y,West Ham,Liverpool vs West Ham,2018
Ryan Fredericks,Y,West Ham,Liverpool vs West Ham,2018
Arthur Masuaku,Y,West Ham,Liverpool vs West Ham,2018
Michail Antonio,Y,West Ham,Liverpool vs West Ham,2018
Declan Rice,Y,West Ham,Liverpool vs West Ham,2018
Petr Čech,Y,Arsenal,Arsenal vs Manchester City,2018
Héctor Bellerín,Y,Arsenal,Arsenal vs Manchester City,2018
Sokratis Papastathopoulos,Y,Arsenal,Arsenal vs Manchester City,2018
Henrikh Mkhitaryan,Y,Arsenal,Arsenal vs Manchester City,2018
Aaron Ramsey,Y,Arsenal,Arsenal vs Manchester City,2018
Mesut Özil,Y,Arsenal,Arsenal vs Manchester City,2018
Pierre-Emerick Aubameyang,Y,Arsenal,Arsenal vs Manchester City,2018
Ainsley Maitland-Niles,Y,Arsenal,Arsenal vs Manchester City,2018
Shkodran Mustafi,Y,Arsenal,Arsenal vs Manchester City,2018
Mattéo Guendouzi,Y,Arsenal,Arsenal vs Manchester City,2018
Granit Xhaka,Y,Arsenal,Arsenal vs Manchester City,2018
Ederson,Y,Manchester City,Arsenal vs Manchester City,2018
Kyle Walker,Y,Manchester City,Arsenal vs Manchester City,2018
John Stones,Y,Manchester City,Arsenal vs Manchester City,2018
Raheem Sterling,Y,Manchester City,Arsenal vs Manchester City,2018
İlkay Gündoğan,Y,Manchester City,Arsenal vs Manchester City,2018
Sergio Agüero,Y,Manchester City,Arsenal vs Manchester City,2018
Aymeric Laporte,Y,Manchester City,Arsenal vs Manchester City,2018
Bernardo Silva,Y,Manchester City,Arsenal vs Manchester City,2018
Benjamin Mendy,Y,Manchester City,Arsenal vs Manchester City,2018
Fernandinho,Y,Manchester City,Arsenal vs Manchester City,2018
Riyad Mahrez,Y,Manchester City,Arsenal vs Manchester City,2018
Neil Etheridge,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Joe Bennett,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Sean Morrison,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Bruno Ecuele Manga,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Harry Arter,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Joe Ralls,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Kenneth Zohore,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Josh Murphy,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Víctor Camarasa,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Sol Bamba,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Junior Hoilett,Y,Cardiff City,Cardiff City vs Newcastle Utd,2018
Martin Dúbravka,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Ciaran Clark,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Paul Dummett,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Jamaal Lascelles,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Jonjo Shelvey,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Mohamed Diamé,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Matt Ritchie,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Kenedy,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Ayoze Pérez,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Javier Manquillo,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Joselu,Y,Newcastle Utd,Cardiff City vs Newcastle Utd,2018
Łukasz Fabiański,Y,West Ham,West Ham vs Bournemouth,2018
Fabián Balbuena,Y,West Ham,West Ham vs Bournemouth,2018
Pablo Zabaleta,Y,West Ham,West Ham vs Bournemouth,2018
Marko Arnautović,Y,West Ham,West Ham vs Bournemouth,2018
Felipe Anderson,Y,West Ham,West Ham vs Bournemouth,2018
Robert Snodgrass,Y,West Ham,West Ham vs Bournemouth,2018
Mark Noble,Y,West Ham,West Ham vs Bournemouth,2018
Javier Hernández,Y,West Ham,West Ham vs Bournemouth,2018
Jack Wilshere,Y,West Ham,West Ham vs Bournemouth,2018
Angelo Ogbonna,Y,West Ham,West Ham vs Bournemouth,2018
Arthur Masuaku,Y,West Ham,West Ham vs Bournemouth,2018
Asmir Begović,Y,Bournemouth,West Ham vs Bournemouth,2018
Steve Cook,Y,Bournemouth,West Ham vs Bournemouth,2018
Dan Gosling,Y,Bournemouth,West Ham vs Bournemouth,2018
Nathan Aké,Y,Bournemouth,West Ham vs Bournemouth,2018
Andrew Surman,Y,Bournemouth,West Ham vs Bournemouth,2018
Charlie Daniels,Y,Bournemouth,West Ham vs Bournemouth,2018
Callum Wilson,Y,Bournemouth,West Ham vs Bournemouth,2018
Adam Smith,Y,Bournemouth,West Ham vs Bournemouth,2018
Joshua King,Y,Bournemouth,West Ham vs Bournemouth,2018
David Brooks,Y,Bournemouth,West Ham vs Bournemouth,2018
Ryan Fraser,Y,Bournemouth,West Ham vs Bournemouth,2018
Jordan Pickford,Y,Everton,Everton vs Southampton,2018
Mason Holgate,Y,Everton,Everton vs Southampton,2018
Leighton Baines,Y,Everton,Everton vs Southampton,2018
Michael Keane,Y,Everton,Everton vs Southampton,2018
Gylfi Sigurðsson,Y,Everton,Everton vs Southampton,2018
Theo Walcott,Y,Everton,Everton vs Southampton,2018
Cenk Tosun,Y,Everton,Everton vs Southampton,2018
Idrissa Gana Gueye,Y,Everton,Everton vs Southampton,2018
Morgan Schneiderlin,Y,Everton,Everton vs Southampton,2018
Séamus Coleman,Y,Everton,Everton vs Southampton,2018
Richarlison,Y,Everton,Everton vs Southampton,2018
Alex McCarthy,Y,Southampton,Everton vs Southampton,2018
Cédric Soares,Y,Southampton,Everton vs Southampton,2018
Jack Stephens,Y,Southampton,Everton vs Southampton,2018
Wesley Hoedt,Y,Southampton,Everton vs Southampton,2018
Danny Ings,Y,Southampton,Everton vs Southampton,2018
Charlie Austin,Y,Southampton,Everton vs Southampton,2018
Oriol Romeu,Y,Southampton,Everton vs Southampton,2018
James Ward-Prowse,Y,Southampton,Everton vs Southampton,2018
Mario Lemina,Y,Southampton,Everton vs Southampton,2018
Ryan Bertrand,Y,Southampton,Everton vs Southampton,2018
Nathan Redmond,Y,Southampton,Everton vs Southampton,2018
Kasper Schmeichel,Y,Leicester City,Leicester City vs Wolves,2018
Ben Chilwell,Y,Leicester City,Leicester City vs Wolves,2018
Jonny Evans,Y,Leicester City,Leicester City vs Wolves,2018
Demarai Gray,Y,Leicester City,Leicester City vs Wolves,2018
Jamie Vardy,Y,Leicester City,Leicester City vs Wolves,2018
James Maddison,Y,Leicester City,Leicester City vs Wolves,2018
Marc Albrighton,Y,Leicester City,Leicester City vs Wolves,2018
Ricardo Pereira,Y,Leicester City,Leicester City vs Wolves,2018
Harry Maguire,Y,Leicester City,Leicester City vs Wolves,2018
Nampalys Mendy,Y,Leicester City,Leicester City vs Wolves,2018
Wilfred Ndidi,Y,Leicester City,Leicester City vs Wolves,2018
Rui Patrício,Y,Wolves,Leicester City vs Wolves,2018
Matt Doherty,Y,Wolves,Leicester City vs Wolves,2018
Ryan Bennett,Y,Wolves,Leicester City vs Wolves,2018
Rúben Neves,Y,Wolves,Leicester City vs Wolves,2018
Raúl Jiménez,Y,Wolves,Leicester City vs Wolves,2018
Hélder Costa,Y,Wolves,Leicester City vs Wolves,2018
Willy Boly,Y,Wolves,Leicester City vs Wolves,2018
Conor Coady,Y,Wolves,Leicester City vs Wolves,2018
Diogo Jota,Y,Wolves,Leicester City vs Wolves,2018
Jonny Castro,Y,Wolves,Leicester City vs Wolves,2018
João Moutinho,Y,Wolves,Leicester City vs Wolves,2018
Hugo Lloris,Y,Tottenham,Tottenham vs Fulham,2018
Kieran Trippier,Y,Tottenham,Tottenham vs Fulham,2018
Toby Alderweireld,Y,Tottenham,Tottenham vs Fulham,2018
Jan Vertonghen,Y,Tottenham,Tottenham vs Fulham,2018
Davinson Sánchez,Y,Tottenham,Tottenham vs Fulham,2018
Harry Kane,Y,Tottenham,Tottenham vs Fulham,2018
Eric Dier,Y,Tottenham,Tottenham vs Fulham,2018
Dele Alli,Y,Tottenham,Tottenham vs Fulham,2018
Christian Eriksen,Y,Tottenham,Tottenham vs Fulham,2018
Lucas Moura,Y,Tottenham,Tottenham vs Fulham,2018
Ben Davies,Y,Tottenham,Tottenham vs Fulham,2018
Fabricio,Y,Fulham,Tottenham vs Fulham,2018
Ryan Sessegnon,Y,Fulham,Tottenham vs Fulham,2018
Calum Chambers,Y,Fulham,Tottenham vs Fulham,2018
Aleksandar Mitrović,Y,Fulham,Tottenham vs Fulham,2018
Tom Cairney,Y,Fulham,Tottenham vs Fulham,2018
Maxime Le Marchand,Y,Fulham,Tottenham vs Fulham,2018
Timothy Fosu-Mensah,Y,Fulham,Tottenham vs Fulham,2018
Joe Bryan,Y,Fulham,Tottenham vs Fulham,2018
Jean Seri,Y,Fulham,Tottenham vs Fulham,2018
Andre-Frank Zambo Anguissa,Y,Fulham,Tottenham vs Fulham,2018
Aboubakar Kamara,Y,Fulham,Tottenham vs Fulham,2018
Kepa Arrizabalaga,Y,Chelsea,Chelsea vs Arsenal,2018
Antonio Rüdiger,Y,Chelsea,Chelsea vs Arsenal,2018
Marcos Alonso,Y,Chelsea,Chelsea vs Arsenal,2018
Jorginho,Y,Chelsea,Chelsea vs Arsenal,2018
N'Golo Kanté,Y,Chelsea,Chelsea vs Arsenal,2018
Ross Barkley,Y,Chelsea,Chelsea vs Arsenal,2018
Pedro,Y,Chelsea,Chelsea vs Arsenal,2018
Willian,Y,Chelsea,Chelsea vs Arsenal,2018
César Azpilicueta,Y,Chelsea,Chelsea vs Arsenal,2018
Álvaro Morata,Y,Chelsea,Chelsea vs Arsenal,2018
David Luiz,Y,Chelsea,Chelsea vs Arsenal,2018
Petr Čech,Y,Arsenal,Chelsea vs Arsenal,2018
Héctor Bellerín,Y,Arsenal,Chelsea vs Arsenal,2018
Sokratis Papastathopoulos,Y,Arsenal,Chelsea vs Arsenal,2018
Henrikh Mkhitaryan,Y,Arsenal,Chelsea vs Arsenal,2018
Mesut Özil,Y,Arsenal,Chelsea vs Arsenal,2018
Pierre-Emerick Aubameyang,Y,Arsenal,Chelsea vs Arsenal,2018
Alex Iwobi,Y,Arsenal,Chelsea vs Arsenal,2018
Nacho Monreal,Y,Arsenal,Chelsea vs Arsenal,2018
Shkodran Mustafi,Y,Arsenal,Chelsea vs Arsenal,2018
Mattéo Guendouzi,Y,Arsenal,Chelsea vs Arsenal,2018
Granit Xhaka,Y,Arsenal,Chelsea vs Arsenal,2018
Joe Hart,Y,Burnley,Burnley vs Watford,2018
Matthew Lowton,Y,Burnley,Burnley vs Watford,2018
Jack Cork,Y,Burnley,Burnley vs Watford,2018
James Tarkowski,Y,Burnley,Burnley vs Watford,2018
Ben Mee,Y,Burnley,Burnley vs Watford,2018
Jóhann Berg Guðmundsson,Y,Burnley,Burnley vs Watford,2018
Chris Wood,Y,Burnley,Burnley vs Watford,2018
Jeff Hendrick,Y,Burnley,Burnley vs Watford,2018
Ashley Westwood,Y,Burnley,Burnley vs Watford,2018
Stephen Ward,Y,Burnley,Burnley vs Watford,2018
Aaron Lennon,Y,Burnley,Burnley vs Watford,2018
Ben Foster,Y,Watford,Burnley vs Watford,2018
Daryl Janmaat,Y,Watford,Burnley vs Watford,2018
Troy Deeney,Y,Watford,Burnley vs Watford,2018
Craig Cathcart,Y,Watford,Burnley vs Watford,2018
Abdoulaye Doucouré,Y,Watford,Burnley vs Watford,2018
Andre Gray,Y,Watford,Burnley vs Watford,2018
Will Hughes,Y,Watford,Burnley vs Watford,2018
José Holebas,Y,Watford,Burnley vs Watford,2018
Christian Kabasele,Y,Watford,Burnley vs Watford,2018
Étienne Capoue,Y,Watford,Burnley vs Watford,2018
Roberto Pereyra,Y,Watford,Burnley vs Watford,2018
Ederson,Y,Manchester City,Manchester City vs Huddersfield,2018
Vincent Kompany,Y,Manchester City,Manchester City vs Huddersfield,2018
John Stones,Y,Manchester City,Manchester City vs Huddersfield,2018
İlkay Gündoğan,Y,Manchester City,Manchester City vs Huddersfield,2018
Sergio Agüero,Y,Manchester City,Manchester City vs Huddersfield,2018
Aymeric Laporte,Y,Manchester City,Manchester City vs Huddersfield,2018
Bernardo Silva,Y,Manchester City,Manchester City vs Huddersfield,2018
David Silva,Y,Manchester City,Manchester City vs Huddersfield,2018
Benjamin Mendy,Y,Manchester City,Manchester City vs Huddersfield,2018
Fernandinho,Y,Manchester City,Manchester City vs Huddersfield,2018
Gabriel Jesus,Y,Manchester City,Manchester City vs Huddersfield,2018
Ben Hamer,Y,Huddersfield,Manchester City vs Huddersfield,2018
Tommy Smith,Y,Huddersfield,Manchester City vs Huddersfield,2018
Terence Kongolo,Y,Huddersfield,Manchester City vs Huddersfield,2018
Philip Billing,Y,Huddersfield,Manchester City vs Huddersfield,2018
Chris Löwe,Y,Huddersfield,Manchester City vs Huddersfield,2018
Alex Pritchard,Y,Huddersfield,Manchester City vs Huddersfield,2018
Steve Mounié,Y,Huddersfield,Manchester City vs Huddersfield,2018
Christopher Schindler,Y,Huddersfield,Manchester City vs Huddersfield,2018
Jon Gorenc Stanković,Y,Huddersfield,Manchester City vs Huddersfield,2018
Abdelhamid Sabiri,Y,Huddersfield,Manchester City vs Huddersfield,2018
Florent Hadergjonaj,Y,Huddersfield,Manchester City vs Huddersfield,2018
Mathew Ryan,Y,Brighton,Brighton vs Manchester Utd,2018
Gaëtan Bong,Y,Brighton,Brighton vs Manchester Utd,2018
Shane Duffy,Y,Brighton,Brighton vs Manchester Utd,2018
Lewis Dunk,Y,Brighton,Brighton vs Manchester Utd,2018
Dale Stephens,Y,Brighton,Brighton vs Manchester Utd,2018
Anthony Knockaert,Y,Brighton,Brighton vs Manchester Utd,2018
Pascal Groß,Y,Brighton,Brighton vs Manchester Utd,2018
Glenn Murray,Y,Brighton,Brighton vs Manchester Utd,2018
Solly March,Y,Brighton,Brighton vs Manchester Utd,2018
Martín Montoya,Y,Brighton,Brighton vs Manchester Utd,2018
Davy Pröpper,Y,Brighton,Brighton vs Manchester Utd,2018
David de Gea,Y,Manchester Utd,Brighton vs Manchester Utd,2018
Victor Lindelöf,Y,Manchester Utd,Brighton vs Manchester Utd,2018
Eric Bailly,Y,Manchester Utd,Brighton vs Manchester Utd,2018
Paul Pogba,Y,Manchester Utd,Brighton vs Manchester Utd,2018
Juan Mata,Y,Manchester Utd,Brighton vs Manchester Utd,2018
Romelu Lukaku,Y,Manchester Utd,Brighton vs Manchester Utd,2018
Anthony Martial,Y,Manchester Utd,Brighton vs Manchester Utd,2018
Andreas Pereira,Y,Manchester Utd,Brighton vs Manchester Utd,2018
